"Arquitectura, Urbanisme i Edificació";"2n cicle";"Enginyeria d’Organització Industrial, orientada a l’Edificació";"Barcelona";"EPSEB";"http://www.upc.edu/grau/fitxa_grau.php?id_estudi=85&lang=cat"
"Arquitectura, Urbanisme i Edificació";"2n cicle";"Enginyeria d’Organització Industrial, orientada a l’Edificació, i Graduat Superior en Gestió de l’Edificació";"Barcelona";"EPSEB";"http://www.upc.edu/grau/fitxa_grau.php?id_estudi=86&lang=cat"
"Arquitectura, Urbanisme i Edificació";"Grau";"Grau en Arquitectura";"Barcelona";"ETSAB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=228&lang=cat"
"Arquitectura, Urbanisme i Edificació";"Grau";"Grau en Arquitectura";"Sant Cugat del Vallès";"ETSAV";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=229&lang=cat"
"Arquitectura, Urbanisme i Edificació";"Grau";"Grau en Enginyeria d’Edificació";"Barcelona";"EPSEB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=173&lang=cat"
"Ciències Aplicades";"Grau";"Grau en Enginyeria Física";"Barcelona";"ETSETB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=275&lang=cat"
"Ciències Aplicades";"Grau";"Grau en Estadística (interuniversitari UB-UPC)";"Barcelona";"FME";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=208&lang=cat"
"Ciències Aplicades";"Grau";"Grau en Matemàtiques";"Barcelona";"FME";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=209&lang=cat"
"Ciències Aplicades";"2n cicle";"Llicenciatura de Ciències i Tècniques Estadístiques";"Barcelona";"FME";"http://www.upc.edu/grau/fitxa_grau.php?id_estudi=105&lang=cat"
"Ciències i Tecnologies de la Salut";"Grau";"Grau en Enginyeria Biomèdica";"Barcelona";"EUETIB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=180&lang=cat"
"Ciències i Tecnologies de la Salut";"Grau";"Grau en Òptica i Optometria";"Terrassa";"FOOT";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=174&lang=cat"
"Ciències i Tecnologies de la Salut";"Grau";"Grau en Òptica i Optometria (modalitat semipresencial)";"Terrassa";"FOOT";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=216&lang=cat"
"Comunicació i Mitjans Audiovisuals";"Grau";"Grau en Fotografia i Creació Digital";"Terrassa";"CITM";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=223&lang=cat"
"Comunicació i Mitjans Audiovisuals";"Grau";"Grau en Mitjans Audiovisuals";"Mataró";"EUPMT";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=222&lang=cat"
"Comunicació i Mitjans Audiovisuals";"Grau";"Grau en Multimèdia";"Terrassa";"CITM";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=224&lang=cat"
"Enginyeria Aeroespacial";"2n cicle";"Enginyeria Aeronàutica";"Terrassa";"ETSEIAT";"http://www.upc.edu/grau/fitxa_grau.php?id_estudi=268&lang=cat"
"Enginyeria Aeroespacial";"Grau";"Grau en Enginyeria d’Aeronavegació";"Castelldefels";"EETAC";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=227&lang=cat"
"Enginyeria Aeroespacial";"Grau";"Grau en Enginyeria d’Aeroports";"Castelldefels";"EETAC";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=230&lang=cat"
"Enginyeria Aeroespacial";"Grau";"Grau en Enginyeria en Tecnologies Aeroespacials";"Terrassa";"ETSEIAT";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=231&lang=cat"
"Enginyeria Aeroespacial";"Grau";"Grau en Enginyeria en Vehicles Aeroespacials";"Terrassa";"ETSEIAT";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=232&lang=cat"
"Enginyeria Civil";"Grau";"Grau en Enginyeria Civil";"Barcelona";"ETSECCPB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=233&lang=cat"
"Enginyeria Civil";"Grau";"Grau en Enginyeria de la Construcció";"Barcelona";"ETSECCPB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=234&lang=cat"
"Enginyeria Civil";"Grau";"Grau en Enginyeria de Recursos Energètics i Miners";"Manresa";"EPSEM";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=179&lang=cat"
"Enginyeria Civil";"Grau";"Grau en Enginyeria Geològica (interuniversitari UPC-UB)";"Barcelona";"ETSECCPB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=235&lang=cat"
"Enginyeria Civil";"Grau";"Grau en Enginyeria Geomàtica i Topografia";"Barcelona";"EPSEB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=236&lang=cat"
"Enginyeria de Biosistemes";"Grau";"Grau en Enginyeria Agrícola";"Castelldefels";"ESAB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=175&lang=cat"
"Enginyeria de Biosistemes";"Grau";"Grau en Enginyeria Agroambiental i del Paisatge";"Castelldefels";"ESAB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=177&lang=cat"
"Enginyeria de Biosistemes";"Grau";"Grau en Enginyeria Alimentària";"Castelldefels";"ESAB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=176&lang=cat"
"Enginyeria de Biosistemes";"Grau";"Grau en Enginyeria de Sistemes Biològics";"Castelldefels";"ESAB";"http://www.upc.edu/estudispdf/estudi.php?id_estudi=178&lang=cat"
