"Enginyeria Industrial";"Màster universitari en Polímers i Biopolímers";"https://mastersuniversitaris.upc.edu/polbiopol/"
"Enginyeria Industrial";"Màster universitari en Enginyeria del Cuir";"http://www.upc.edu/master/fitxa_master.php?id_estudi=172&id_titulacio=218"
"Enginyeria Industrial";"Màster universitari en Recerca en Enginyeria de Processos Químics";"http://engpro.masters.upc.edu/"
"Enginyeria Industrial";"Erasmus Mundus Master in Environomical Pathways for Sustainable Energy Systems (SELECT)";"http://select.masters.upc.edu/"
"Enginyeria Industrial";"Màster universitari en Enginyeria d'Organització";"http://www.upc.edu/master/fitxa_master.php?id_estudi=277&id_titulacio=294"
"Medi Ambient, Sostenibilitat i Recursos Naturals";"Màster universitari en Enginyeria Ambiental";"http://www.upc.edu/master/fitxa_master.php?id_estudi=28&id_titulacio=92"
"Medi Ambient, Sostenibilitat i Recursos Naturals";"Màster universitari en Sostenibilitat";"http://www.upc.edu/master/fitxa_master.php?id_estudi=64&id_titulacio=128"
"Medi Ambient, Sostenibilitat i Recursos Naturals";"Màster universitari en Enginyeria dels Recursos Naturals";"http://www.upc.edu/master/fitxa_master.php?id_estudi=71&id_titulacio=140"
"Enginyeries de la Telecomunicació";"Màster universitari en Enginyeria Electrònica";"http://www.upc.edu/master/fitxa_master.php?id_estudi=34&id_titulacio=98"
"Enginyeries de la Telecomunicació";"Màster universitari en Enginyeria Telemàtica";"http://mastersuniversitaris.upc.edu/telematica"
"Enginyeries de la Telecomunicació";"Erasmus Mundus Master of Science in Research on Information and Communication Technologies (MERIT)";"http://www.upc.edu/master/fitxa_master.php?id_estudi=46&id_titulacio=110"
"Enginyeries de la Telecomunicació";"Master's degree in Information and Communication Technologies (MINT)";"http://mastersuniversitaris.upc.edu/mint"
"Enginyeries de la Telecomunicació";"Master’s degree in Telecommunication Engineering and Management (MASTEAM)";"http://www.upc.edu/master/fitxa_master.php?id_estudi=72&id_titulacio=141"
"Enginyeria Aeroespacial";"Master's degree in Aerospace Science and Technology";"http://mast.masters.upc.edu/"
